Unnamed: 0,Track Name,Artist(s),Popularity,Audio Preview,Cover Image,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Genre
2529,Waves in The Wind,"Dhyana Dan, Red Neptune, Umpirage",51,https://p.scdn.co/mp3-preview/af22902848ac249a13a21e5a2aec074ea961749e?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b27362f77b2040a9bc43c94dc6b0,0.202,0.104,-24.698,0.0392,0.766,0.13,91.329,yoga
2515,Bracelet,"Joe Ananda, Umpirage, Blumida",52,https://p.scdn.co/mp3-preview/e9c0d3a414045e95dcc07f187c004f2edd636fea?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b273baedb29b261ac3cfa66db6bd,0.175,0.22,-24.472,0.0434,0.817,0.0888,133.184,yoga
2112,Lunar,Redbee,58,https://p.scdn.co/mp3-preview/e5b689404fa2059b266b101a55f4c4b72a9c390a?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b2731b6b7fa57690d801fa365c29,0.139,0.00604,-38.022,0.0408,0.995,0.0721,142.042,yoga
271,Mehfil,Raj Pareek,34,https://p.scdn.co/mp3-preview/f336f76b1fb998d02fc9c74f079758e3a6766407?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273e8c1d88595c6dc097b58f229,0.545,0.792,-4.099,0.0405,0.534,0.493,143.907,bhajan
1085,Ganesh Namo,Sooryagayathri,16,https://p.scdn.co/mp3-preview/d1d943a392b6abc98dd591bb171bf7c3dac24dd9?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273be3d61845d9fe6f8c973635b,0.314,0.554,-10.248,0.0484,0.398,0.339,89.89,hindi devotional
483,Om Jai Jagdish Hare,Anuradha Paudwal,53,https://p.scdn.co/mp3-preview/f0f277dc5fb71fda8530d707b19b9d37474c97f3?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273027aa319d09937441a4d7d76,0.531,0.837,-7.346,0.056,0.766,0.359,96.317,bhajan
1759,New Beginnings,Dusty Clav,61,https://p.scdn.co/mp3-preview/d09bcdb30e0d282c9c5185034662df8fe80e2a7d?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273859cae42d3935bebe95e8c95,0.187,0.0178,-32.563,0.0385,0.953,0.0881,67.406,relaxation
2256,Awareness,Joborja Perc,42,https://p.scdn.co/mp3-preview/7df15f6b074defe46f319083a3a826108f7e3d55?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b273ab36d11ee597b9fb465755b3,0.422,0.0713,-26.898,0.0299,0.818,0.106,99.846,yoga
357,Mangalmurti Maruti Nandan,Hariharan,56,https://p.scdn.co/mp3-preview/47c5351efd52d3cc763360f4ae8171798865e53c?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2736d9a2050e82ce05424dca5aa,0.549,0.903,-4.46,0.0439,0.252,0.117,90.209,bhajan
969,Mata Tujhe Ardaas Karun,Mann Taneja,43,https://p.scdn.co/mp3-preview/85aa765610ef6c90a0929d1ae9de32a1ff52fc1a?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273d8a4ad72f3b33eb7e74cf977,0.445,0.654,-7.133,0.046,0.801,0.609,95.706,hindi devotional
1270,Jayam,Sounds of the Nations India,26,https://p.scdn.co/mp3-preview/018cf76bb787b777fac1dffea470c260de7d61a4?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2739f7ed6677f6c9abe3473f711,0.69,0.746,-11.061,0.037,0.0405,0.339,120.004,hindi devotional
1993,Patanjali,Chakra Waves,59,https://p.scdn.co/mp3-preview/72f60ec58c0e38ed1733347ec99549b2a3d92879?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273c4028d047513d54ed1125c4f,0.219,0.082,-21.48,0.0481,0.928,0.1,64.307,relaxation
1338,Duniya Mange Sona Chandi Mujhe Teri Jarurat,Bhagwat Suthar,19,https://p.scdn.co/mp3-preview/da35c2be9879e66b5c2f0764d0742cb305bf3004?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273c3d3184f3aa065680e97f7cf,0.593,0.754,-9.212,0.0418,0.596,0.0722,80.01,hindi devotional
1312,Naina Thak Gaye Raah Niharu,Bhagwat Suthar,31,https://p.scdn.co/mp3-preview/282f12dc9f368bcf13c3d29e4a066d728e8704d9?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273595418b2bd4ad7b693000393,0.563,0.657,-11.561,0.0471,0.67,0.368,80.216,hindi devotional
2284,Mountains,Bahn Kramina,35,https://p.scdn.co/mp3-preview/8fedd2cb55bac2cf3419dcb66b851d4b165f9c2c?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b2734da818527a91a728dd5fe4d2,0.428,0.0873,-24.485,0.0319,0.327,0.111,100.129,yoga
594,Hari Mandir Re,Radha Krishnaji Maharaj,3,https://p.scdn.co/mp3-preview/79088487829cbf56d99b06810dd6967c2a5fec50?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27370c17e1ac1d9d075345d5c0e,0.478,0.575,-10.913,0.0957,0.461,0.189,85.907,bhajan
1194,Vevela Jejelive,K. S. Chithra,32,https://p.scdn.co/mp3-preview/8a242140d122016fbb4bc83c117516d9e6798155?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2730e0d90c07f9bde1315de0c27,0.609,0.693,-4.177,0.0675,0.406,0.108,164.921,hindi devotional
1052,Gayatri Mantra Without Rhythm,Jagjit Singh,46,https://p.scdn.co/mp3-preview/fb6e1be3471f6b8423831728d90eae6b3484fc55?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731ae521124182a14bbddf31f4,0.237,0.0986,-14.688,0.0383,0.974,0.0953,138.11,hindi devotional
2180,Chihiro,Cha Se-Eun,59,https://p.scdn.co/mp3-preview/f8b332932be8027dd94091a6c4c6635b2453323a?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b273f2944af95b8128c3555b8ce7,0.221,0.00658,-41.212,0.0432,0.92,0.112,60.264,yoga
1607,Rawan Ka Tap Khadit Kina - Part 4,Rakesh Kala,22,https://p.scdn.co/mp3-preview/1603fb9119debf83e2335cfc45d9855b88030480?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731db98e26ce57618d8dbd0c9d,0.507,0.716,-6.524,0.0685,0.265,0.137,81.616,hindi devotional
444,कजरी बंदउँ सुखराशी अविनाशी,Ranjan Ji Maharaj,37,https://p.scdn.co/mp3-preview/6a6beb6a123337c876295e9e0fe25934c7b4d719?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273449114cf7aa4446a3da2ebf4,0.483,0.673,-5.927,0.0354,0.573,0.352,134.65,bhajan
738,Shree Ram Stuti,Nitin Mukesh,41,https://p.scdn.co/mp3-preview/494c249b1103cd6d3d9b9d8185fd50ed745898a2?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273f0caae7f12db774d1bdb6bd8,0.744,0.455,-4.194,0.038,0.862,0.316,101.144,hindi devotional
161,Aarti Kunj Bihari Ki,Maanya Arora,45,https://p.scdn.co/mp3-preview/306b4bc2b6a43598859be11290d368ff910704a4?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273960e018af7d2f95a8120c99d,0.712,0.374,-9.717,0.0501,0.808,0.102,100.875,bhajan
708,Vaishnava Stuti,"Jagjit Singh, Chitra Singh",29,https://p.scdn.co/mp3-preview/04da72dacac5fed2f705ee1d7758bfdb00bf9230?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273aa4a096cac2e23db20797231,0.226,0.134,-15.608,0.0366,0.995,0.0515,128.902,hindi devotional
1898,Fjord,unwaxed lemons,48,https://p.scdn.co/mp3-preview/373a64f14a5adf0d8698daad56e4907f20d1c584?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273d48ebd1fb481e5bf6001f86e,0.187,0.0236,-32.907,0.0422,0.993,0.0903,68.06,relaxation
1821,Towards The Light,Vincent La Rossi,56,https://p.scdn.co/mp3-preview/ddadd3f94ea4e39eaff4b7f277f2f673ee9da2d6?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273e8c4ec1bedb3cbc4c2d240da,0.144,0.0182,-34.935,0.0565,0.842,0.106,138.251,relaxation
929,Adharam Madhuram,Swasti Mehul,57,https://p.scdn.co/mp3-preview/4c4ccad95380a1fbede00c1bb159cce8f590d3b7?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273cbc56401cb0a50efad611bfd,0.487,0.421,-8.385,0.0272,0.774,0.227,89.977,hindi devotional
1814,A Place For The Mind,n.i.g.h.t,59,https://p.scdn.co/mp3-preview/ce7d1e19cd68c3e7e48fa2a23fec2e208e141781?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731a32c6bfa22ab27f821527f2,0.133,0.000778,-36.902,0.0507,0.953,0.11,69.847,relaxation
1771,Two,badlulu,56,https://p.scdn.co/mp3-preview/d078bda43386ccfd839fa2c682d194109dc59f80?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b2731234c8aac12e21398b45203b,0.143,0.0142,-35.939,0.0449,0.929,0.119,140.493,relaxation
108,Jis Bhajan Mein Ram Ka Naam Na Ho,Sohini Mishra,31,https://p.scdn.co/mp3-preview/873ffb13d8b8acc625cda23e5378cb07cdf1f88b?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b27316f405057705b0f6bcccf4bb,0.562,0.568,-7.585,0.0375,0.559,0.206,104.121,bhajan
580,Radhe Govind Bhajo Radhe,Radha Krishnaji Maharaj,8,https://p.scdn.co/mp3-preview/b03458a7b903522ba1549196262808298b506b2f?cid=ff5a19ea0ecf4365b6fda2607c00c556,https://i.scdn.co/image/ab67616d0000b273aab7dd175d6bc5e698742a71,0.404,0.924,-0.906,0.064,0.617,0.1,139.657,bhajan
2169,Toska,delo cloonz,53,https://p.scdn.co/mp3-preview/9e091b730fc2ea555917c45cd126cc34dc8d40c0?cid=386df1941e434e9a8fa07b9104aada05,https://i.scdn.co/image/ab67616d0000b27363cb43fe504b908266f757af,0.34,0.0176,-33.275,0.052,0.903,0.123,68.926,yoga
